Family_name;sp_name;latitude;elevation;annual_mean_temp;annual_prec;Trunk_circumference;age_rank;unique_name;religion;sp_num;Family_num
Aquifoliaceae;Ilex_integra;33.312482;21.82507324;16.3;1878.4;379;2;0;0;64;28
Aquifoliaceae;Ilex_rotunda;33.2123792;16.68424225;16.2;1815.5;345;4;0;0;38;28
Aquifoliaceae;Ilex_rotunda;34.0396843;14.36261463;15.4;1810.8;381;3;0;0;38;28
Aquifoliaceae;Ilex_integra;33.4832146;40.54375839;15.9;1834.1;313;3;0;0;64;28
Aquifoliaceae;Ilex_rotunda;32.7503334;10.93769836;17.1;1928.5;380;4;0;1;38;28
Aquifoliaceae;Ilex_integra;36.5144209;25.02831459;14.2;2252.3;370;4;1;0;64;28
Aquifoliaceae;Ilex_rotunda;35.3708151;26.68166351;14.4;1836.8;300;4;0;0;38;28
Aquifoliaceae;Ilex_integra;33.5210426;150.6302795;15;1911.5;329;4;0;0;64;28
Aquifoliaceae;Ilex_integra;33.4118454;16.73503494;15.9;1785.2;350;4;0;1;64;28
Aquifoliaceae;Ilex_rotunda;33.1804356;12.62243938;16.6;2022.6;450;3;0;0;38;28
Aquifoliaceae;Ilex_rotunda;34.575355;149.7129211;14.4;1755.4;380;3;1;0;38;28
Aquifoliaceae;Ilex_rotunda;33.052594;179.4380188;14.9;2344.9;420;3;0;0;38;28
Aquifoliaceae;Ilex_integra;33.8353191;16.76422691;15.5;1527.6;300;4;0;0;64;28
Aquifoliaceae;Ilex_integra;35.7340035;4.793041706;15.6;1633.7;366;4;0;1;64;28
Aquifoliaceae;Ilex_integra;33.441233;132.9560852;14.7;2362.9;300;4;0;0;64;28
Aquifoliaceae;Ilex_integra;35.6580813;11.07111359;16;1482;315;2;0;0;64;28
Aquifoliaceae;Ilex_rotunda;34.6746159;269.0541687;12.7;1517.3;330;4;1;0;38;28
Aquifoliaceae;Ilex_rotunda;33.2872856;146.6447906;15;1815.4;355;4;0;0;38;28
Aquifoliaceae;Ilex_rotunda;34.1553006;65.60153961;14.1;1946.8;340;3;0;0;38;28
Aquifoliaceae;Ilex_rotunda;33.3410325;5.447226048;16;2039.2;420;4;0;0;38;28
Aquifoliaceae;Ilex_rotunda;34.7264516;27.3799572;16.2;1790.1;480;4;1;0;38;28
Aquifoliaceae;Ilex_rotunda;34.1749276;26.10546875;16.2;1395.9;680;4;1;0;38;28
Aquifoliaceae;Ilex_rotunda;34.9845394;29.89961433;16.4;2236;390;4;0;0;38;28
Aquifoliaceae;Ilex_rotunda;34.6855265;1.006408811;15.7;1727.5;313;3;0;0;38;28
Aquifoliaceae;Ilex_rotunda;34.9516986;18.56756592;16.2;2207;340;4;0;0;38;28
Aquifoliaceae;Ilex_rotunda;35.276452;103.0308228;14.6;1558.9;300;4;0;0;38;28
Aquifoliaceae;Ilex_rotunda;33.4402918;9.870751381;15.7;2010;400;4;0;0;38;28
Aquifoliaceae;Ilex_rotunda;34.2902672;2.226187706;15.9;1086.5;340;3;0;0;38;28
Aquifoliaceae;Ilex_rotunda;35.1379573;1.076553106;15.7;2050.1;300;2;0;0;38;28
Aquifoliaceae;Ilex_rotunda;35.2583444;1517.256592;6.6;3112.9;360;4;0;0;38;28
Aquifoliaceae;Ilex_rotunda;34.9586216;19.86941147;15.6;1361.5;319;4;1;0;38;28
Aquifoliaceae;Ilex_rotunda;31.7407317;6.887678146;17.5;2381.8;400;4;0;0;38;28
Aquifoliaceae;Ilex_rotunda;33.6151166;423.1683044;13.5;3136.4;315;4;0;0;38;28
Aquifoliaceae;Ilex_rotunda;32.984529;36.27201843;16.7;2014.4;360;4;0;1;38;28
Aquifoliaceae;Ilex_rotunda;32.7815775;25.45624924;17.8;2412.9;450;4;0;0;38;28
Aquifoliaceae;Ilex_rotunda;34.1915116;4.055660725;16.4;1340.2;329;3;0;0;38;28
Aquifoliaceae;Ilex_rotunda;35.1259276;89.01625824;14.5;1490.8;340;4;0;1;38;28
Aquifoliaceae;Ilex_rotunda;35.3486779;27.34687042;15.6;1684.3;320;2;0;0;38;28
Aquifoliaceae;Ilex_rotunda;34.9074372;15.86117744;15.6;1441.2;310;3;1;0;38;28
Aquifoliaceae;Ilex_rotunda;34.5763354;12.85100269;16.3;1195.1;402;4;1;0;38;28
Aquifoliaceae;Ilex_rotunda;35.1332603;3.218690157;15.2;1704.5;330;4;0;0;38;28
Aquifoliaceae;Ilex_integra;35.330054;11.44426727;15.2;1872.1;330;3;0;0;64;28
Aquifoliaceae;Ilex_rotunda;34.2303678;5.715601921;16.6;1317;391;4;0;0;38;28
Aquifoliaceae;Ilex_rotunda;34.8644762;17.07328796;15.6;1509.3;395;3;0;0;38;28
Aquifoliaceae;Ilex_rotunda;32.676309;244.44841;14.8;2332.3;458;3;0;0;38;28
Aquifoliaceae;Ilex_rotunda;35.4234226;17.77885056;15.8;1889.6;300;3;0;0;38;28
Aquifoliaceae;Ilex_rotunda;34.5779758;7.645086765;15.5;1662;329;3;0;0;38;28
Aquifoliaceae;Ilex_rotunda;33.6119239;328.70401;13.5;3136.4;330;4;1;1;38;28
Aquifoliaceae;Ilex_rotunda;33.2337;5.988419056;16.4;1644.7;370;2;0;0;38;28
Aquifoliaceae;Ilex_rotunda;34.98181;23.09511757;16.2;2227.9;315;4;0;0;38;28
Aquifoliaceae;Ilex_rotunda;34.830456;13.13294697;15.9;1512;342;4;0;1;38;28
Aquifoliaceae;Ilex_rotunda;35.4234226;17.77885056;15.8;1889.6;300;3;0;0;38;28
Aquifoliaceae;Ilex_rotunda;34.9651064;3.971074581;15.6;1711;305;3;0;0;38;28
Aquifoliaceae;Ilex_rotunda;33.9032695;68.06551361;16;1676;430;1;0;0;38;28
