"","basin","site","reg_rich","loc_rich","abund","HII","width","depth","temp","temp_season","precip","precip_season","Isothermality","AET","evi","region"
"1","guiana","ducke_11",16,5,16,1.31169224112225,-0.292252127869256,0.515969447952582,0.760731620936236,-0.122481501394731,0.761698074753348,-1.25419212331841,-1.29849484221046,0.889634970293332,-0.949606803859801,"west"
"2","guiana","ducke_12",16,7,15,1.31169224112225,-0.135764375396804,1.04042858856241,1.13057347617401,-0.165897134453959,0.712188370757579,-1.14717468927875,-1.29849484221046,0.803794529935552,-0.970377693641916,"west"
"3","guiana","ducke_13",16,3,14,1.31169224112225,-0.381962779071136,-0.53294883326708,1.00729285776142,-0.600053465046236,0.73969376186634,-1.25419212331841,-1.29849484221046,0.918248450412592,1.45981641086545,"west"
"4","guiana","ducke_16",16,3,7,1.31169224112225,-0.270667610286849,-0.70776854680369,1.00729285776142,-0.310615911318051,0.778201309418605,-1.36120955735806,-1.29849484221046,0.918248450412592,1.77830338752453,"west"
"5","guiana","ducke_17",16,5,9,1.31169224112225,-0.276063739682451,0.0964021354647175,0.760731620936236,-0.194840889826778,0.794704544083862,-1.36120955735806,-1.29849484221046,0.918248450412592,1.40211949480402,"west"
"6","guiana","ducke_18",16,2,5,1.31169224112225,-0.426480846584851,-0.777696432218334,0.760731620936236,-0.397447177436507,0.805706700527366,-1.36120955735806,-1.29849484221046,0.975475410651111,-0.524957501647688,"west"
"7","guiana","ducke_21",16,4,6,1.31169224112225,-0.33272309833627,-0.497984890559758,0.884012239348829,0.0367091531557703,0.800205622305614,-1.46822699139772,-1.29849484221046,1.08992933112815,1.33980682545768,"west"
"8","guiana","ducke_22",16,7,16,1.31169224112225,-0.262573416193446,0.446041562537938,0.884012239348829,-0.165897134453959,0.789203465862109,-1.36120955735806,-1.29849484221046,1.03270237088963,1.12748217435162,"west"
"9","guiana","ducke_23",16,5,11,1.31169224112225,-0.145207601839107,0.725753104196515,1.00729285776142,-0.0935377460219126,0.827711013414375,-1.46822699139772,-1.29849484221046,1.10423607118778,-0.0218403935920324,"west"
"10","guiana","ducke_24",16,4,9,1.31169224112225,-0.356331164442028,-0.847624317632978,1.00729285776142,-0.252728400572414,0.789203465862109,-1.36120955735806,-1.29849484221046,1.00408889077037,2.09909824082608,"west"
"11","guiana","ducke_6",16,5,11,1.31169224112225,-0.150603731234709,0.830644932318481,1.13057347617401,-0.397447177436507,0.734192683644587,-1.25419212331841,-1.29849484221046,0.946861930531852,-0.875754751301173,"west"
"12","guiana","ducke_8",16,7,15,1.31169224112225,-0.309115032230512,-0.0434536353645707,1.00729285776142,-0.281672155945233,0.73969376186634,-1.25419212331841,-1.29849484221046,0.875328230233702,-0.762668795820773,"west"
"13","guiana","ducke_5",16,4,14,0.910565464105842,-0.298322773439308,0.865608875025803,1.00729285776142,-0.252728400572414,0.778201309418605,-1.46822699139772,-1.29849484221046,1.06131585100889,1.18056333712814,"west"
